cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,House,11/3/20,WA-7,Pramila Jayapal,Craig Keller,4,Expert ratings adjusted for national environment,71.68671,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-7,Pramila Jayapal,Craig Keller,3,Fundamentals (non-polling factors),72.45496,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-7,Pramila Jayapal,Craig Keller,2,CANTOR (analysis of comparable disticts),88.38251,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-7,Pramila Jayapal,Craig Keller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,4,Expert ratings adjusted for national environment,28.21809,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,3,Fundamentals (non-polling factors),29.39404,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,2,CANTOR (analysis of comparable disticts),36.16747,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,4,Expert ratings adjusted for national environment,-24.25505,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,3,Fundamentals (non-polling factors),-19.65083,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,2,CANTOR (analysis of comparable disticts),-9.22946,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-4,Douglas McKinley,Dan Newhouse,4,Expert ratings adjusted for national environment,-33.92236,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-4,Douglas McKinley,Dan Newhouse,3,Fundamentals (non-polling factors),-32.63309,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-4,Douglas McKinley,Dan Newhouse,2,CANTOR (analysis of comparable disticts),-22.78892,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-4,Douglas McKinley,Dan Newhouse,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-3,Carolyn Long,Jaime Herrera Beutler,4,Expert ratings adjusted for national environment,-8.550311,0,0,1.418092,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-3,Carolyn Long,Jaime Herrera Beutler,3,Fundamentals (non-polling factors),-6.268029,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-3,Carolyn Long,Jaime Herrera Beutler,2,CANTOR (analysis of comparable disticts),-.5704028,.595793,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-3,Carolyn Long,Jaime Herrera Beutler,1,Polls adjusted for house effects & other factors,-5.464996,1.404207,1.404207,1.404207,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-2,Rick Larsen,Timothy Hazelo,4,Expert ratings adjusted for national environment,38.9067,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-2,Rick Larsen,Timothy Hazelo,3,Fundamentals (non-polling factors),40.30421,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-2,Rick Larsen,Timothy Hazelo,2,CANTOR (analysis of comparable disticts),46.6697,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-2,Rick Larsen,Timothy Hazelo,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,4,Expert ratings adjusted for national environment,25.05967,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,3,Fundamentals (non-polling factors),25.49142,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,2,CANTOR (analysis of comparable disticts),38.58704,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-10,Marilyn Strickland,Beth Doglio,4,Expert ratings adjusted for national environment,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-10,Marilyn Strickland,Beth Doglio,3,Fundamentals (non-polling factors),9.916275,0,1.439034,1.439034,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-10,Marilyn Strickland,Beth Doglio,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-10,Marilyn Strickland,Beth Doglio,1,Polls adjusted for house effects & other factors,21,.6534927,.6534927,.6534927,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VT-1,Peter Welch,Miriam Berry,4,Expert ratings adjusted for national environment,36.47612,0,0,1.197121,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VT-1,Peter Welch,Miriam Berry,3,Fundamentals (non-polling factors),38.19217,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VT-1,Peter Welch,Miriam Berry,2,CANTOR (analysis of comparable disticts),30.75179,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VT-1,Peter Welch,Miriam Berry,1,Polls adjusted for house effects & other factors,39.63198,.9611642,.9611642,.9611642,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-9,Cameron Dickerson,Morgan Griffith,4,Expert ratings adjusted for national environment,-67.33131,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-9,Cameron Dickerson,Morgan Griffith,3,Fundamentals (non-polling factors),-67.33131,1.439034,1.439034,1.439034,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-9,Cameron Dickerson,Morgan Griffith,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-9,Cameron Dickerson,Morgan Griffith,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-8,Don Beyer,Jeff Jordan,4,Expert ratings adjusted for national environment,54.49028,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-8,Don Beyer,Jeff Jordan,3,Fundamentals (non-polling factors),54.12862,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-8,Don Beyer,Jeff Jordan,2,CANTOR (analysis of comparable disticts),74.55973,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-8,Don Beyer,Jeff Jordan,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-7,Abigail Spanberger,Nick Freitas,4,Expert ratings adjusted for national environment,4.103641,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-7,Abigail Spanberger,Nick Freitas,3,Fundamentals (non-polling factors),6.808722,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-7,Abigail Spanberger,Nick Freitas,2,CANTOR (analysis of comparable disticts),14.53149,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-7,Abigail Spanberger,Nick Freitas,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-6,Nicholas Betts,Ben Cline,4,Expert ratings adjusted for national environment,-28.10633,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-6,Nicholas Betts,Ben Cline,3,Fundamentals (non-polling factors),-26.26259,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-6,Nicholas Betts,Ben Cline,2,CANTOR (analysis of comparable disticts),-20.39728,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-6,Nicholas Betts,Ben Cline,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-5,Cameron Webb,Bob Good,4,Expert ratings adjusted for national environment,-4.072409,0,0,1.684747,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-5,Cameron Webb,Bob Good,3,Fundamentals (non-polling factors),5.482435,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-5,Cameron Webb,Bob Good,2,CANTOR (analysis of comparable disticts),4.404396,.0611562,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-5,Cameron Webb,Bob Good,1,Polls adjusted for house effects & other factors,-.7523422,1.938844,1.938844,1.938844,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-4,A. Donald McEachin,Leon Benjamin,4,Expert ratings adjusted for national environment,24.01086,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-4,A. Donald McEachin,Leon Benjamin,3,Fundamentals (non-polling factors),22.21965,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-4,A. Donald McEachin,Leon Benjamin,2,CANTOR (analysis of comparable disticts),49.10177,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-4,A. Donald McEachin,Leon Benjamin,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-3,Robert C. Scott,John W. Collick,4,Expert ratings adjusted for national environment,38.06443,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-3,Robert C. Scott,John W. Collick,3,Fundamentals (non-polling factors),37.30043,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-3,Robert C. Scott,John W. Collick,2,CANTOR (analysis of comparable disticts),61.35756,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-3,Robert C. Scott,John W. Collick,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-2,Elaine Luria,Scott W. Taylor,4,Expert ratings adjusted for national environment,6.670883,0,0,1.616131,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-2,Elaine Luria,Scott W. Taylor,3,Fundamentals (non-polling factors),11.27109,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-2,Elaine Luria,Scott W. Taylor,2,CANTOR (analysis of comparable disticts),11.63801,.1987308,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-2,Elaine Luria,Scott W. Taylor,1,Polls adjusted for house effects & other factors,5.810421,1.801269,1.801269,1.801269,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-1,Qasim Rashid,Robert J. Wittman,4,Expert ratings adjusted for national environment,-26.16161,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-1,Qasim Rashid,Robert J. Wittman,3,Fundamentals (non-polling factors),-7.429445,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-1,Qasim Rashid,Robert J. Wittman,2,CANTOR (analysis of comparable disticts),-4.619952,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-1,Qasim Rashid,Robert J. Wittman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-11,Gerry Connolly,Manga Anantatmula,4,Expert ratings adjusted for national environment,43.72455,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-11,Gerry Connolly,Manga Anantatmula,3,Fundamentals (non-polling factors),43.41671,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-11,Gerry Connolly,Manga Anantatmula,2,CANTOR (analysis of comparable disticts),63.32297,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-11,Gerry Connolly,Manga Anantatmula,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-10,Jennifer Wexton,Aliscia Andrews,4,Expert ratings adjusted for national environment,20.51065,0,0,1.18774,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-10,Jennifer Wexton,Aliscia Andrews,3,Fundamentals (non-polling factors),18.76668,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-10,Jennifer Wexton,Aliscia Andrews,2,CANTOR (analysis of comparable disticts),18.80727,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,VA-10,Jennifer Wexton,Aliscia Andrews,1,Polls adjusted for house effects & other factors,18.09902,.9423568,.9423568,.9423568,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-4,Ben McAdams,Burgess Owens,4,Expert ratings adjusted for national environment,1.86469,0,0,1.498001,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-4,Ben McAdams,Burgess Owens,3,Fundamentals (non-polling factors),.9305627,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-4,Ben McAdams,Burgess Owens,2,CANTOR (analysis of comparable disticts),-3.55507,.4355774,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-4,Ben McAdams,Burgess Owens,1,Polls adjusted for house effects & other factors,.7916374,1.564423,1.564423,1.564423,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-3,Devin Thorpe,John R. Curtis,4,Expert ratings adjusted for national environment,-33.32069,0,0,1.063528,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-3,Devin Thorpe,John R. Curtis,3,Fundamentals (non-polling factors),-32.76114,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-3,Devin Thorpe,John R. Curtis,2,CANTOR (analysis of comparable disticts),-25.95828,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-3,Devin Thorpe,John R. Curtis,1,Polls adjusted for house effects & other factors,-29.94345,.6933135,.6933135,.6933135,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-2,Kael Weston,Chris Stewart,4,Expert ratings adjusted for national environment,-24.17296,0,0,1.063528,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-2,Kael Weston,Chris Stewart,3,Fundamentals (non-polling factors),-18.44239,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-2,Kael Weston,Chris Stewart,2,CANTOR (analysis of comparable disticts),-15.54453,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-2,Kael Weston,Chris Stewart,1,Polls adjusted for house effects & other factors,-19.17825,.6933135,.6933135,.6933135,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-1,Darren Parry,Blake Moore,4,Expert ratings adjusted for national environment,-34.01701,0,0,1.063528,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-1,Darren Parry,Blake Moore,3,Fundamentals (non-polling factors),-36.49812,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-1,Darren Parry,Blake Moore,2,CANTOR (analysis of comparable disticts),-22.66854,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,UT-1,Darren Parry,Blake Moore,1,Polls adjusted for house effects & other factors,-25.97023,.6933135,.6933135,.6933135,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-9,Al Green,Johnny Teague,4,Expert ratings adjusted for national environment,58.31215,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-9,Al Green,Johnny Teague,3,Fundamentals (non-polling factors),57.80573,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-9,Al Green,Johnny Teague,2,CANTOR (analysis of comparable disticts),79.58508,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-9,Al Green,Johnny Teague,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-8,Elizabeth Hernandez,Kevin Brady,4,Expert ratings adjusted for national environment,-56.07142,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-8,Elizabeth Hernandez,Kevin Brady,3,Fundamentals (non-polling factors),-53.46525,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-8,Elizabeth Hernandez,Kevin Brady,2,CANTOR (analysis of comparable disticts),-60.65553,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-8,Elizabeth Hernandez,Kevin Brady,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-7,Lizzie Fletcher,Wesley Hunt,4,Expert ratings adjusted for national environment,10.24585,0,0,1.088403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-7,Lizzie Fletcher,Wesley Hunt,3,Fundamentals (non-polling factors),.8360865,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,TX-7,Lizzie Fletcher,Wesley Hunt,2,CANTOR (analysis of comparable disticts),3.234257,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
